label,variable,description,unit,dataset_id,dataset_description,cycles,type,vartype,used_for,include,notes
vitd,LBXVID,Vitamin D(25),ng/mL,L06VID,Vitamin D,"2001_2002, 2007_2008, 2009_2010, 2015_2016",numeric,biomarker,hd,FALSE,"Requires standardization, missing in 2020"
caro,LBXALC,Alpha-carotene,ug/dL,L06VIT,"Vitamin A, Vitamin E & Carotenoids","2001_2002, 2003_2004, 2005_2006, 2017_2018",numeric,biomarker,hd,FALSE,"Missing in 1999_2020, 2009_2010 and 2017_2020"
crypto,LBXCRY,Beta-cryptoxanthin,ug/dL,L06VIT,"Vitamin A, Vitamin E & Carotenoids","1999_2000, 2001_2002, 2003_2004, 2005_2006, 2017_2018",numeric,biomarker,hd,FALSE,Missing in 2009_2010 and 2017_2020
toco,LBXGTC,Gamma-tocopherol,ug/dL,L06VIT,"Vitamin A, Vitamin E & Carotenoids","1999_2000, 2001_2002, 2003_2004, 2005_2006, 2017_2018",numeric,biomarker,hd,FALSE,Missing in 2009_2010 and 2017_2020
vita,LBXVIA,Vitamin A/retinol,ug/dL,L06VIT,"Vitamin A, Vitamin E & Carotenoids","1999_2000, 2001_2002, 2003_2004, 2005_2006, 2017_2018",numeric,biomarker,hd,FALSE,Missing in 2009_2010 and 2017_2020
b12,LBXB12,Vitamin B12,pg/mL,"LAB06, L06","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries","1999_2000, 2001_2002, 2003_2004, 2005_2006",numeric,biomarker,hd,FALSE,"Missing in 2009_2010, 2015_2016, and 2017_2020"
folate,LBXFOL,Folate,ng/mL,"LAB06, L06, L06NB, FOLATE","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries","1999_2000, 2001_2002, 2003_2004, 2005_2006",numeric,biomarker,hd,FALSE,Requires standardization
ferr,LBDFERSI,Ferritin,ug/L,"LAB06, L06, L06TFR, FERTIN","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries","1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,hd,FALSE,Only measured at ages 12-49 later on
ldl,LBDLDLSI,Low-density lipoprotein cholesterol,mmol/L,"LAB13AM, L13AM, TRIGLY",Cholesterol - LDL & Triglycerides,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,hd,FALSE,Only participants tested in the fasting group (morning) session were examined
tg,LBXTR,Triglycerides,mg/dL,"LAB13AM, L13AM, TRIGLY",Cholesterol - LDL & Triglycerides,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,hd,FALSE,Only participants tested in the fasting group (morning) session were examined
cmv,SSCMVOD,Cytomegalovirus optical density from ELISA,Absorbance units,SSCMV,SSCMV_B,"1999_2000, 2001_2002, 2003_2004",numeric,biomarker,kdm,FALSE,Only present in 1999_2000 - 2003_2004
vitd,LB2VID,Vitamin D(25),ng/mL,VID_2,Vitamin D,1999_2000,numeric,biomarker,hd,FALSE,"Requires standardization, missing in 2020"
fev1,,Forced expiratory volume in 1s,,,,,,,kdm,FALSE,Only present in NHANES3
