dataset,year_group,cols
CBC,2009,LBXLYPCT
CBC,2009,LBXMCVSI
CBC,2009,LBXRDW
CRP,2009,SEQN
CRP,2009,LBXCRP
hba1c,2009,SEQN
hba1c,2009,LBXGH
totcholesterol,2009,SEQN
totcholesterol,2009,LBXTC
cardiovas,2009,SEQN
cardiovas,2009,MCQ160B
cardiovas,2009,MCQ160C
cardiovas,2009,MCQ160D
cardiovas,2009,MCQ160E
cardiovas,2009,MCQ160F
smoking,2009,SEQN
smoking,2009,SMQ020
diabetes,2009,SEQN
diabetes,2009,DIQ010
hypertension,2009,SEQN
hypertension,2009,BPQ020
bmi,2009,SEQN
bmi,2009,BMXBMI
ckd,2009,SEQN
ckd,2009,KIQ022
ckd,2009,KIQ025
hearing,2009,SEQN
hearing,2009,AUQ211
hearing,2009,AUQ231
hearing,2009,AUQ290
demographics,2015,SEQN
demographics,2015,RIDAGEYR
demographics,2015,RIAGENDR
demographics,2015,RIDEXPRG
demographics,2015,RIDRETH1
demographics,2015,DMDEDUC2
demographics,2015,INDFMIN2
audiometry,2015,SEQN
audiometry,2015,AUXU500R
audiometry,2015,AUXU1K1R
audiometry,2015,AUXU1K2R
audiometry,2015,AUXU2KR
audiometry,2015,AUXU3KR
audiometry,2015,AUXU4KR
audiometry,2015,AUXU6KR
audiometry,2015,AUXU8KR
audiometry,2015,AUXU500L
audiometry,2015,AUXU1K1L
audiometry,2015,AUXU1K2L
audiometry,2015,AUXU2KL
audiometry,2015,AUXU3KL
audiometry,2015,AUXU4KL
audiometry,2015,AUXU6KL
audiometry,2015,AUXU8KL
biochem,2015,SEQN
biochem,2015,LBXSAL
biochem,2015,LBXSAPSI
biochem,2015,LBXSBU
biochem,2015,LBXSGL
biochem,2015,LBXSUA
biochem,2015,LBXSCR
biochem,2015,LBDSALSI
biochem,2015,LBDSCRSI
BP,2015,SEQN
BP,2015,BPXSY1
BP,2015,BPXSY2
BP,2015,BPXSY3
BP,2015,BPXSY4
CBC,2015,SEQN
CBC,2015,LBXWBCSI
CBC,2015,LBXLYPCT
CBC,2015,LBXMCVSI
CBC,2015,LBXRDW
CRP,2015,SEQN
CRP,2015,LBXHSCRP
hba1c,2015,SEQN
hba1c,2015,LBXGH
totcholesterol,2015,SEQN
totcholesterol,2015,LBXTC
cardiovas,2015,SEQN
cardiovas,2015,MCQ160B
cardiovas,2015,MCQ160C
cardiovas,2015,MCQ160D
cardiovas,2015,MCQ160E
cardiovas,2015,MCQ160F
smoking,2015,SEQN
smoking,2015,SMQ020
diabetes,2015,SEQN
diabetes,2015,DIQ010
hypertension,2015,SEQN
hypertension,2015,BPQ020
bmi,2015,SEQN
bmi,2015,BMXBMI
ckd,2015,SEQN
ckd,2015,KIQ022
ckd,2015,KIQ025
hearing,2015,SEQN
hearing,2015,AUQ300
hearing,2015,AUQ370
hearing,2015,AUQ331
hearing,2015,AUQ350
demographics,2017,SEQN
demographics,2017,RIDAGEYR
demographics,2017,RIAGENDR
demographics,2017,RIDEXPRG
demographics,2017,RIDRETH1
demographics,2017,DMDEDUC2
audiometry,2017,SEQN
audiometry,2017,AUXU500R
audiometry,2017,AUXU1K1R
audiometry,2017,AUXU1K2R
audiometry,2017,AUXU2KR
audiometry,2017,AUXU3KR
audiometry,2017,AUXU4KR
